haskell-hslua-module-text 0.3.0.1-135
haskell-hsyaml 0.2.1.0-139
haskell-http-client 0.7.10-3
haskell-http-client-tls 0.3.5.3-479
haskell-http-types 0.12.3-204
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-1
haskell-ipynb 0.1.0.1-268
haskell-jira-wiki-markup 1.4.0-36
haskell-juicypixels 3.3.6-13
haskell-memory 0.16.0-40
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-23
haskell-network 3.1.2.7-1
haskell-network-uri 2.6.4.1-58
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-types 1.22-130
haskell-pem 0.2.4-203
haskell-primitive 0.7.3.0-8
haskell-quickcheck 2.14.2-255
haskell-random 1.2.1-44
haskell-resourcet 1.2.4.3-25
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-36
haskell-sha 1.6.4.4-19
haskell-skylighting 0.11-60
haskell-skylighting-core 0.11-62
haskell-socks 0.6.1-151
haskell-split 0.2.3.4-168
haskell-splitmix 0.1.0.4-24
haskell-streaming-commons 0.2.2.2-7
haskell-strict 0.4.0.1-92
haskell-syb 0.7.2.1-100
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-149
haskell-temporary 1.3-339
haskell-texmath 0.12.3.2-5
haskell-text-conversions 0.3.1-106
haskell-text-icu 0.7.1.0-5
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-20
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-9
haskell-these 1.1.1.1-119
haskell-time-compat 1.9.6.1-20
haskell-tls 1.5.6-9
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-9
haskell-unicode-collation 0.1.3.1-15
haskell-unicode-data 0.2.0-2
haskell-unicode-transforms 0.4.0-7
haskell-uniplate 1.6.13-95
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.15.0-7
haskell-utf8-string 1.0.2-73
haskell-uuid-types 1.0.5-40
haskell-vector 0.12.3.1-34
haskell-vector-algorithms 0.8.0.4-88
haskell-x509 1.7.5-183
haskell-x509-store 1.6.7-182
haskell-x509-system 1.6.6-250
haskell-x509-validation 1.6.12-1
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-73
haskell-xml-types 0.3.8-8
haskell-zip-archive 0.4.1-155
haskell-zlib 0.6.2.3-56
heroic-games-launcher-bin 2.0.2-1
hicolor-icon-theme 0.17-2.1
hidapi 0.11.2-1
hip-rocclr 4.3.1-1
hipblas 4.3.1-1
hipcub 4.5.0-1
hipfft 4.2.0-1
hipsparse 4.5.0-1
hiredis 1.0.2-1
hsa-amd-aqlprofile-bin 4.5.0-1
hsa-rocr 4.5.0-1
hsakmt-roct 4.5.2-1
htop 3.1.2-1
http-parser 2.9.4-1.1
hwdata 0.355-1
hwloc 2.7.0-1
hyphen 2.8.8-3.1
iana-etc 20220110-1
icoutils 0.32.3-3
icu 70.1-1
ijs 0.35-3.1
imagemagick 7.1.0.20-1
imath 3.1.4-1
imlib2 1.7.5-1
iniparser 4.1-4
inotify-tools 3.22.1.0-1
intel-mkl 2020.4.304-1
ipp-usb 0.9.19-1
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
itch 1:1.26.0-2
jack2 1.9.20-3
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3.1
java-rhino 1.7.13-1
java-runtime-common 3-3.1
jbig2dec 0.19-1
jdk-openjdk 17.0.1.u12-1
jemalloc 1:5.2.1-6
jitterentropy 3.3.1-1
jq 1.6-4
jre-openjdk 17.0.1.u12-1
jre-openjdk-headless 17.0.1.u12-1
js78 78.15.0-2
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.5-1
jxrlib 0.2.1-3
kaccounts-integration 21.12.1-1
karchive 5.90.0-1
kauth 5.90.0-1
kbd 2.4.0-2
kbookmarks 5.90.0-1
kcmutils 5.90.0-1
kcodecs 5.90.0-1
kcompletion 5.90.0-1
kconfig 5.90.0-1
kconfigwidgets 5.90.1-1
kcoreaddons 5.90.0-1
kcrash 5.90.0-1
kdbusaddons 5.90.0-1
kdeclarative 5.90.0-1
kded 5.90.0-1
kdenlive 21.12.1-1
kdesu 5.90.0-1
kexec-tools 2.0.23-1
keyutils 1.6.3-1
kfilemetadata 5.90.0-1
kglobalaccel 5.90.0-1
kguiaddons 5.90.0-1
ki18n 5.90.0-1
